Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
APLMUL,APLMUL,APL LOGISTICS UK OBO MULTAY INT'L LIMITED,I
APLMX,APLMX,APL DE MEXICO SA DE CV,I
APLNDH,APLNDH,APL LOGISTICS,I
RMAID,APLNEW,APL LOGISTICS FRANCE OBO NEWELL SA,I
APLNNJ,APLNNJ,APL LOGISTICS (NANJING),I
APLNPC,APLNPC,APL NORTH CHINA,I
RMAID,APLNPF,APL LOGISTICS OBO NEWELL PHOTO FASHION GERMANY,I
APLNSE,APLNSE,APL CO. (GERMANY),I
APLNSH,APLNSH,APL LOGISTICS INDIA PVT LTD,I
APLNV,APLNV,APL LOGISTICS (VIETNAM),I
APLOAK,APLOAK,APL LOGISTICS OAKLAND,I
RMAID,APLPAN,APL LOGISTICS OBO GEODIS OVERSEAS OBO PANODIA,I
APLPEN,APLPEN,APL LOGISTICS SDN BHD,I
APLPH,APLPH,APL PHILIPPINES OBO DEL MONTE,I
APLPKL,APLPKL,APL LOGISTICS (MALAYSIA),I
APLSHA,APLSHA,APL SHANGHAI,I
XCRAR,APLSIN,APL LOGISTICS LTD (IE APLL) C/O CARRIER ARCD PT,I
APLSNZ,APLSNZ,APL LOGISTICS SHENZHEN OBO HONG FU JIN PRECISION IND. CO. LTD,I
APLSOU,APLSOU,APL LOGISTICS SOUTHAMPTON,I
RMAID,APLSPG,"APL LOGISTICS OBO OBO SCHENKER INT'L NEDERLAND, OBO SPUR AND HOMELUX",I
RMAID,APLSSH,APL LOGISTICS OBO SCHENKER OBO SPUR AND HOMELUX,I
APLSWI,APLSWI,APL SWITSERLAND,I
APLSYD,APLSYD,APL LOGISTICS C/O APL,I
APLTH,APLTH,"APL LOGISTICS SVCS (THAILAND), LTD",A
APLTU,APLTU,APL TASIMACILIK VE LOJISTIK LTD STI,I
APLTWN,APLTWN,APL LOGISTICS (TAIWAN),I
APLULD,APLULD,A-PLUS LIMITED,I
APLYAT,APLYAT,APL LOGISTICS,I
APLYOK,APLYOK,APL LOGISTICS,I
APPC,APPC,ALLIANCE PLASTIC PARTS CENTRE,I
APPLE,APPLE,APPLE COMPUTER,I
APPLS,APPLS,"APPLAUSE, LLC",I
